matId,matBaseRetId,matBaseStaId,matSuggestedStaId,matApproved,matApprovedBy,matApprovedOn,matSuggestedOn,matManufacturerScore,matPartNumberScore,matProductNameScore,matPriceScore,matAverageScore
84089,1,2,466,0,NULL,NULL,"2019-02-05 17:22:29",100,78,49,0,80.75
84090,1,2,476,0,NULL,NULL,"2019-02-05 17:22:29",100,100,57,1,88.6
84091,1,2,491,0,NULL,NULL,"2019-02-05 17:22:29",100,22,39,0,62.45
84092,1,2,494,0,NULL,NULL,"2019-02-05 17:22:29",100,29,11,0,60.35
84093,1,2,502,0,NULL,NULL,"2019-02-05 17:22:29",100,13,40,0,59.9
84094,1,2,515,0,NULL,NULL,"2019-02-05 17:22:29",100,29,8,1,59.95
84095,1,2,516,0,NULL,NULL,"2019-02-05 17:22:29",100,15,32,0,59.3
84096,1,2,518,0,NULL,NULL,"2019-02-05 17:22:29",100,13,34,0,59
84097,1,2,522,0,NULL,NULL,"2019-02-05 17:22:29",100,12,30,0,58.1
84098,1,2,531,0,NULL,NULL,"2019-02-05 17:22:29",100,89,44,0,83.3
84099,1,2,541,0,NULL,NULL,"2019-02-05 17:22:29",100,14,29,0,58.55
84100,1,2,542,0,NULL,NULL,"2019-02-05 17:22:29",100,29,30,0,63.2
84101,1,2,569,0,NULL,NULL,"2019-02-05 17:22:29",100,15,18,0,57.2
84102,1,2,575,0,NULL,NULL,"2019-02-05 17:22:29",100,24,32,0,62
84103,1,2,576,0,NULL,NULL,"2019-02-05 17:22:29",100,29,25,0,62.45
84104,1,2,583,0,NULL,NULL,"2019-02-05 17:22:29",100,22,32,1,61.45
84105,1,2,599,0,NULL,NULL,"2019-02-05 17:22:29",100,27,32,0,62.9
84106,1,2,610,0,NULL,NULL,"2019-02-05 17:22:29",100,14,38,0,59.9
84107,1,2,611,0,NULL,NULL,"2019-02-05 17:22:29",100,22,40,0,62.6
84108,1,2,618,0,NULL,NULL,"2019-02-05 17:22:29",100,22,40,0,62.6
84109,1,2,630,0,NULL,NULL,"2019-02-05 17:22:29",100,14,31,0,58.85
84110,1,3,466,0,NULL,NULL,"2019-02-05 17:22:29",100,29,31,0,63.35
84111,1,3,476,0,NULL,NULL,"2019-02-05 17:22:29",100,29,31,0,63.35
84112,1,3,491,0,NULL,NULL,"2019-02-05 17:22:29",100,14,34,0,59.3
84113,1,3,494,0,NULL,NULL,"2019-02-05 17:22:29",100,80,10,1,75.55
84114,1,3,502,0,NULL,NULL,"2019-02-05 17:22:29",100,18,32,0,60.2
84115,1,3,515,0,NULL,NULL,"2019-02-05 17:22:29",100,20,6,1,56.95
84116,1,3,516,0,NULL,NULL,"2019-02-05 17:22:29",100,44,31,0,67.85
84117,1,3,518,0,NULL,NULL,"2019-02-05 17:22:29",100,18,34,0,60.5
84118,1,3,522,0,NULL,NULL,"2019-02-05 17:22:29",100,15,28,0,58.7
84119,1,3,531,0,NULL,NULL,"2019-02-05 17:22:29",100,29,26,0,62.6
84120,1,3,541,0,NULL,NULL,"2019-02-05 17:22:29",100,20,26,0,59.9
84121,1,3,542,0,NULL,NULL,"2019-02-05 17:22:29",100,80,60,0,83
84122,1,3,569,0,NULL,NULL,"2019-02-05 17:22:29",100,22,18,0,59.3
84123,1,3,575,0,NULL,NULL,"2019-02-05 17:22:29",100,15,28,1,58.75
84124,1,3,576,0,NULL,NULL,"2019-02-05 17:22:29",100,40,22,0,65.3
84125,1,3,583,0,NULL,NULL,"2019-02-05 17:22:29",100,14,27,0,58.25
84126,1,3,599,0,NULL,NULL,"2019-02-05 17:22:29",100,18,25,0,59.15
84127,1,3,610,0,NULL,NULL,"2019-02-05 17:22:29",100,20,40,0,62
84128,1,3,611,0,NULL,NULL,"2019-02-05 17:22:29",100,29,37,0,64.25
84129,1,3,618,0,NULL,NULL,"2019-02-05 17:22:29",100,29,39,0,64.55
84130,1,3,630,0,NULL,NULL,"2019-02-05 17:22:29",100,20,31,0,60.65
84131,1,7,466,0,NULL,NULL,"2019-02-05 17:22:30",100,11,31,0,57.95
84132,1,7,476,0,NULL,NULL,"2019-02-05 17:22:30",100,21,32,1,61.15
84133,1,7,491,0,NULL,NULL,"2019-02-05 17:22:30",100,32,36,0,65
