staId,staRetId,staProductName,staBreadcrumb,staOptionName,staChildIdentifier,staParentIdentifier,staUrlId,staPartNumber,staImageCount,staDescription,staMainImage,staShippingWeight,staShippingWeightUnit,staBestSeller1,staBestSeller2,staBestSeller3,staFirstAvailable,staBrand,staItemWeight,staItemWeightUnit,staDimensions,staDimensionsUnit,staAplus,staLastCrawl
1,1,"Floppy Disk USB Emulator Nalbantov N-Drive 1000 for Yamaha A3000/4000/5000; SU700; RM1x","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B07KB2H5R7,B07KB2H5R7,1,"[!Error: part_number Not Found]",7,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/71sk8ynAdDL._SL1500_.jpg,0,"[!Error: shipping_weight_unit Could Not Parse]","[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2018-11-06,"Nalbantov Electronics",0,"[!Error: product_weight_unit Not Found]",NULL,"[!Error: dimensions_unit Not Found]",0,1
2,1,"Roland JUNO-DS61 61-key Synthesizer w/Official Roland Brand Dust Cover","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B0727WSLPC,B0727WSLPC,4,JUNO-DS61,5,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/71pfgUubXUL._SL1500_.jpg,19,pounds,"[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2017-05-03,Roland,12,pounds,NULL,inches,0,2
3,1,"Roland JD-Xi 37-key Analog/Digital Crossover Synthesizer with Official Roland Brand Dust Cover","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B07259WRG2,B07259WRG2,5,JD-Xi,4,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/61wk9GFr9YL._SL1000_.jpg,11,pounds,"#363,810 in Musical Instruments (See Top 100 in Musical Instruments)","#994 in Musical Instruments | Keyboards | Electronic Keyboards | Synthesizers & Workstations",,2017-05-04,Roland,5,pounds,NULL,inches,0,3
5,1,"Nalbantov USB Floppy Disk Drive Emulator for Akai MPC-60 MK II (MPC60 MK2)","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B071F1BBT8,"[!Error: parent_asin Not Found]",7,"[!Error: part_number Not Found]",5,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/717GdZqLHDL._SL1500_.jpg,0,"[!Error: shipping_weight_unit Could Not Parse]","[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2015-10-24,"Nalbantov Electronics",0,"[!Error: product_weight_unit Not Found]",NULL,"[!Error: dimensions_unit Not Found]",0,21
6,1,"Studio Electronics Boomstar 5089","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B071DKC8B1,B071DKC8B1,9,BS-5089,1,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/71dybDtqnkL._SL1000_.jpg,7,7.4pounds,"[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2017-04-22,"Studio Electronics",7,pounds,NULL,inches,0,22
7,1,"Roland GAIA SH-01 37-key Virtual Analog Synthesizer with Official Roland Brand Dust Cover","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B0716KK156,B0716KK156,10,"GAIA SH-01",4,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/71JBMFjfucL._SL1500_.jpg,15,pounds,"[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2017-05-03,Roland,9,pounds,NULL,inches,0,23
8,1,"Malekko Sync 4HP USB/MIDI SYNC MODULE","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B071441DZR,B071441DZR,11,Sync,1,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/41dxsP7Og9L._SL1200_.jpg,7,ounces,"#330,283 in Musical Instruments (See Top 100 in Musical Instruments)","#891 in Musical Instruments | Keyboards | Electronic Keyboards | Synthesizers & Workstations",,2017-05-09,"Malekko Heavy Industry",1,pounds,NULL,inches,0,24
9,1,"Pittsburgh Modular Synthesizers LIFEFORMS MIDI3","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B0713MRJ6C,B0713MRJ6C,12,PMS2038,1,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/71mPC6Kvg3L._SL1500_.jpg,5,ounces,"[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2017-04-22,"Pittsburgh Modular Synthesizers",5,ounces,NULL,inches,0,25
10,1,"Pittsburgh Modular Synthesizers LIFEFORMS 2+2 MIXER","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B06ZZ2VWGW,B06ZZ2VWGW,13,PMS2039,1,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/711XiFs%2BjTL._SL1500_.jpg,6,ounces,"#357,051 in Musical Instruments (See Top 100 in Musical Instruments)","#968 in Musical Instruments | Keyboards | Electronic Keyboards | Synthesizers & Workstations",,2017-04-18,"Pittsburgh Modular Synthesizers",6,ounces,NULL,inches,0,26
11,1,"Nalbantov USB Floppy Disk Drive Emulator for Ensoniq SQ-80","Musical Instruments | Keyboards & MIDI | Electronic Keyboards | Synthesizers & Workstations","Need to add this",B06Y48ZPBV,B06Y48ZPBV,14,"[!Error: part_number Not Found]",7,"need to fix this",https://images-na.ssl-images-amazon.com/images/I/81sZusUK7CL._SL1500_.jpg,0,"[!Error: shipping_weight_unit Could Not Parse]","[!Error: Not Found]","[!Error: Not Found]","[!Error: Not Found]",2015-10-24,"Nalbantov Electronics",0,"[!Error: product_weight_unit Not Found]",NULL,"[!Error: dimensions_unit Not Found]",0,27
